time;air.T
487800.0;326.47520340550386
488700.0;326.54461331277156
489600.0;326.56205948985115
490500.0;326.66593870528635
491400.0;326.7441227889643
492300.0;326.7607989287396
493200.0;326.7921906826833
494100.0;326.84199183817395
495000.0;326.9088784873329
495900.0;326.94688738749693
496800.0;326.97976993161063
497700.0;326.78737998964186
498600.0;326.6299898224073
499500.0;326.5011330817281
500400.0;326.387434992543
501300.0;326.2870696324165
502200.0;326.1964491432019
503100.0;326.11346077794525
504000.0;326.03341076085303
504900.0;325.9594611088176
505800.0;325.89087661684744
506700.0;325.8271631288085
507600.0;325.76795864439976
508500.0;325.7129708053854
509400.0;325.6619410178894
510300.0;325.6146240951767
511200.0;325.5707769397252
512100.0;325.5335783106694
513000.0;325.4988248405437
513900.0;325.4664721395979
514800.0;325.4398009479835
515700.0;325.41122933679884
516600.0;325.3846793733742
517500.0;325.35978902756426
518400.0;325.33964516677213
519300.0;325.31654577907096
520200.0;325.2909117031621
521100.0;325.26628285114384
522000.0;325.2420730703595
522900.0;325.2178134312464
523800.0;325.19310437726875
524700.0;325.1675886553827
525600.0;325.14093622763005
526500.0;325.11283604597435
527400.0;325.0829917864068
528300.0;325.0476939217327
529200.0;325.01062002982275
530100.0;324.97129245260896
531000.0;324.92933829348647
531900.0;324.8844513847256
532800.0;324.83979650141083
533700.0;324.7960336338155
534600.0;324.7476031260361
535500.0;324.69739867590266
536400.0;324.65337332354875
537300.0;324.6114909309193
538200.0;324.5615584222064
539100.0;324.5121011595737
540000.0;324.47494405907145
540900.0;324.42205355534855
541800.0;324.40567249303626
542700.0;324.40611751129137
543600.0;324.3900712679222
544500.0;324.34636286378316
545400.0;324.285010964293
546300.0;324.2372105099588
547200.0;324.20574976858387
548100.0;324.1904907344574
549000.0;324.134119739793
549900.0;324.08981307271495
550800.0;324.0790693580254
551700.0;324.27073145373373
552600.0;324.3853891990965
553500.0;324.48261624819696
554400.0;324.56214928311357
555300.0;324.67955343199156
556200.0;324.8220593706335
557100.0;324.96414074435353
